meat_type,date,price
"Mutton, kg",2020-08-12,9872.0
"Beef, kg",2020-08-12,11937.0
"Horse meat, kg",2020-08-12,9027.0
"Goat meat, kg",2020-08-12,8495.0
"Mutton, kg",2020-08-19,9826.0
"Beef, kg",2020-08-19,11349.0
"Horse meat, kg",2020-08-19,8970.0
"Goat meat, kg",2020-08-19,8124.0
"Mutton, kg",2020-08-26,9388.0
"Beef, kg",2020-08-26,11201.0
"Horse meat, kg",2020-08-26,8883.0
"Goat meat, kg",2020-08-26,8015.0
"Mutton, kg",2020-09-02,9331.0
"Beef, kg",2020-09-02,11279.0
"Horse meat, kg",2020-09-02,8749.0
"Goat meat, kg",2020-09-02,7890.0
"Mutton, kg",2020-09-09,9309.0
"Beef, kg",2020-09-09,11251.0
"Horse meat, kg",2020-09-09,8749.0
"Goat meat, kg",2020-09-09,7890.0
"Mutton, kg",2020-09-16,9185.0
"Beef, kg",2020-09-16,11265.0
"Horse meat, kg",2020-09-16,8749.0
"Goat meat, kg",2020-09-16,7642.0
"Mutton, kg",2020-09-23,9118.0
"Beef, kg",2020-09-23,11449.0
"Horse meat, kg",2020-09-23,8629.0
"Goat meat, kg",2020-09-23,7376.0
"Mutton, kg",2020-09-30,8907.0
"Beef, kg",2020-09-30,10944.0
"Horse meat, kg",2020-09-30,8491.0
"Goat meat, kg",2020-09-30,7283.0
"Mutton, kg",2020-10-07,8895.0
"Beef, kg",2020-10-07,10771.0
"Horse meat, kg",2020-10-07,8761.0
"Goat meat, kg",2020-10-07,7283.0
"Mutton, kg",2020-10-14,8501.0
"Beef, kg",2020-10-14,10946.0
"Horse meat, kg",2020-10-14,8688.0
"Goat meat, kg",2020-10-14,7283.0
"Mutton, kg",2020-10-21,8401.0
"Beef, kg",2020-10-21,10597.0
"Horse meat, kg",2020-10-21,8688.0
"Goat meat, kg",2020-10-21,7283.0
"Mutton, kg",2020-10-28,8416.0
"Beef, kg",2020-10-28,10429.0
"Horse meat, kg",2020-10-28,8448.0
"Goat meat, kg",2020-10-28,7283.0
"Mutton, kg",2020-11-04,8406.0
"Beef, kg",2020-11-04,10773.0
"Horse meat, kg",2020-11-04,8540.0
"Goat meat, kg",2020-11-04,7376.0
"Mutton, kg",2020-11-11,8936.0
"Beef, kg",2020-11-11,11115.0
"Horse meat, kg",2020-11-11,8540.0
"Goat meat, kg",2020-11-11,7376.0
"Mutton, kg",2020-11-18,8497.0
"Beef, kg",2020-11-18,11140.0
"Horse meat, kg",2020-11-18,8740.0
"Goat meat, kg",2020-11-18,6116.0
"Mutton, kg",2020-11-25,8698.0
"Beef, kg",2020-11-25,11276.0
"Horse meat, kg",2020-11-25,9041.0
"Goat meat, kg",2020-11-25,6899.0
"Mutton, kg",2020-12-02,8555.0
"Beef, kg",2020-12-02,11113.0
"Horse meat, kg",2020-12-02,8752.0
"Goat meat, kg",2020-12-02,7000.0
"Mutton, kg",2020-12-09,8508.0
"Beef, kg",2020-12-09,10974.0
"Horse meat, kg",2020-12-09,8691.0
"Goat meat, kg",2020-12-09,7000.0
"Mutton, kg",2020-12-16,8519.0
"Beef, kg",2020-12-16,11025.0
"Horse meat, kg",2020-12-16,8650.0
"Goat meat, kg",2020-12-16,7000.0
"Mutton, kg",2020-12-23,8635.0
"Beef, kg",2020-12-23,11586.0
"Horse meat, kg",2020-12-23,8969.0
"Goat meat, kg",2020-12-23,7500.0
"Mutton, kg",2020-12-30,8680.0
"Beef, kg",2020-12-30,11355.0
"Horse meat, kg",2020-12-30,8981.0
"Goat meat, kg",2020-12-30,7500.0
"Mutton, kg",2021-01-06,8728.0
"Beef, kg",2021-01-06,11371.0
"Horse meat, kg",2021-01-06,9091.0
"Goat meat, kg",2021-01-06,7500.0
"Mutton, kg",2021-01-13,8797.0
